time(yyyymm) ts_cwv
202103 43.352682
202104 44.521254
202105 44.513099
202106 42.911512
202107 43.071307
202108 42.194654
202109 43.199304
202110 42.875999
202111 42.627281
202112 42.527646
202201 41.122282
202202 41.652785
202203 43.308603
202204 44.600889
202205 43.414133
202206 42.199172
202207 42.531952
202208 41.603753
202209 41.766600
202210 42.263272
202211 41.911234
202212 41.864378
202301 41.652292
202302 42.846896
202303 43.004498
202304 45.753597
202305 47.002830
202306 44.395124
202307 44.774862
202308 43.801372
202309 44.870639
202310 44.716070
202311 45.520470
202312 45.932710
202401 44.575408
202402 45.541250
202403 46.814563
202404 48.108164
202405 47.895932
202406 44.909473
202407 43.928459
202408 43.553476
202409 44.300814
202410 44.259397
202411 44.173900
202412 44.693304
