time(yyyymm) ts_tlt
201108 -0.069039
201109 -0.114820
201110 -0.380022
201111 -0.289287
201112 -0.284116
201201 -0.417065
201202 -0.548936
201203 -0.357169
201204 -0.421020
201205 -0.269716
201206 -0.262646
201207 -0.083848
201208 -0.105827
201209 -0.033885
201210 -0.045627
201211 0.053451
201212 0.017885
201301 0.272225
201302 0.078361
201303 0.103306
201304 0.077796
201305 -0.044026
201306 -0.002599
201307 -0.208774
201308 -0.170877
201309 -0.035573
201310 -0.176564
201311 -0.196456
201312 -0.144642
201401 -0.177802
201402 -0.177965
201403 -0.076807
201404 0.034165
201405 0.094157
201406 0.340445
201407 0.245448
201408 -0.129130
201409 -0.022422
201410 -0.005170
201411 0.083879
201412 0.124008
201501 0.097138
201502 -0.166908
201503 0.022907
201504 0.032249
201505 0.198883
201506 0.352985
201507 0.279889
201508 0.371549
201509 0.410140
201510 0.406134
201511 0.420327
201512 0.607255
201601 0.869904
201602 0.957204
201603 1.029117
201604 0.868869
201605 0.620425
201606 0.286627
201607 0.275538
201608 0.350934
201609 0.239430
201610 0.279119
201611 0.206253
201612 0.126282
201701 0.091354
201702 0.069440
201703 0.061710
201704 0.199681
201705 0.347170
201706 0.262329
201707 0.330994
201708 0.281169
201709 0.341538
201710 0.258691
201711 0.072383
201712 0.078805
201801 -0.136026
201802 -0.116895
201803 -0.027182
201804 -0.153651
201805 -0.057499
201806 0.002902
201807 0.119762
201808 -0.000343
201809 0.052992
201810 0.131969
201811 0.282660
201812 0.212206
201901 0.330060
201902 0.376238
201903 0.374853
201904 0.470779
201905 0.317924
201906 0.546779
201907 0.256075
201908 0.321828
201909 0.319779
201910 0.050227
201911 0.262060
201912 0.393055
202001 0.559091
202002 0.655023
202003 0.513937
202004 0.414507
202005 0.627868
202006 0.367516
202007 0.304490
202008 0.414837
202009 0.249892
202010 0.126395
202011 0.097723
202012 -0.084028
202101 -0.069985
202102 -0.115354
202103 -0.226232
202104 -0.161935
202105 0.168806
202106 -0.051028
202107 0.214486
202108 0.112670
202109 0.128767
202110 0.228815
202111 0.044657
202112 -0.018820
202201 -0.156052
202202 -0.149956
202203 -0.025947
202204 -0.029234
202205 0.070151
202206 -0.262164
202207 0.147759
202208 0.006729
202209 -0.007305
202210 -0.051275
202211 -0.258479
