time(yyyymm) ts_cwv ts_sst
202111 39.465150 -0.322662
202112 39.550710 -0.415390
202201 38.371743 -0.373731
202202 38.804339 -0.268489
202203 40.444870 0.091700
202204 41.665269 0.422714
202205 40.413947 0.183321
202206 38.956837 -0.085125
202207 38.928847 -0.553876
202208 38.069458 -0.773316
202209 38.355700 -0.729758
202210 39.140733 -0.561302
202211 38.763520 -0.358589
202212 38.643374 -0.332853
202301 38.493841 -0.382172
202302 39.834572 -0.116045
202303 40.331708 0.490665
202304 42.905620 0.922386
202305 43.429811 0.745707
202306 41.032482 0.466971
202307 40.784710 0.107357
202308 40.273290 0.013965
202309 41.222056 0.063756
202310 41.175541 0.311550
202311 41.948285 0.450632
202312 42.090840 0.465486
202401 41.062167 0.437601
202402 41.924289 0.502053
202403 43.551036 0.795615
202404 44.732486 1.003565
202405 43.970247 0.808549
202406 41.053876 0.452252
202407 40.149848 -0.008594
202408 39.884477 -0.242924
202409 40.539955 -0.192842
202410 40.582654 0.017392
202411 40.557762 0.054067
202412 40.590011 -0.126375
