time(yyyymm) ts_tmt
200710 -0.249521
200711 -0.270902
200712 -0.469304
200801 -0.458386
200802 -0.603437
200803 -0.848253
200804 -0.758834
200805 -0.767223
200806 -0.551265
200807 -0.416708
200808 -0.455811
200809 -0.204015
200810 -0.126250
200811 -0.148516
200812 -0.335866
200901 -0.367581
200902 -0.283582
200903 -0.398503
200904 -0.106349
200905 -0.208839
200906 -0.143755
200907 0.259717
200908 0.261497
200909 0.381294
200910 0.249143
200911 0.354933
200912 0.354988
201001 0.567018
201002 0.801251
201003 0.766611
201004 0.628118
201005 0.784827
201006 0.325485
201007 0.161455
201008 0.098277
201009 -0.068780
201010 -0.157440
201011 -0.376176
201012 -0.622403
201101 -0.678157
201102 -0.599697
201103 -0.585035
201104 -0.472146
201105 -0.271027
201106 -0.062748
201107 -0.066814
201108 -0.019840
201109 -0.085563
201110 -0.306483
201111 -0.221526
201112 -0.253992
201201 -0.401148
201202 -0.570526
201203 -0.379069
201204 -0.461251
201205 -0.328878
201206 -0.279508
201207 -0.072626
201208 -0.075350
201209 -0.010403
201210 0.046640
201211 0.148235
201212 0.084139
201301 0.368691
201302 0.121720
201303 0.110809
201304 0.069480
201305 -0.094360
201306 -0.041358
201307 -0.236100
201308 -0.166803
201309 -0.008429
201310 -0.135192
201311 -0.164809
201312 -0.102932
201401 -0.204012
201402 -0.203726
201403 -0.103996
201404 0.022863
201405 0.064862
201406 0.370020
201407 0.318417
201408 -0.111097
201409 0.006379
201410 0.050408
201411 0.160048
201412 0.174839
201501 0.106815
201502 -0.249972
201503 -0.001763
201504 0.001249
201505 0.173996
201506 0.343571
201507 0.338837
201508 0.416762
201509 0.465628
201510 0.524863
201511 0.491079
201512 0.674777
201601 0.926751
201602 1.046485
201603 1.153850
201604 0.983113
201605 0.678709
201606 0.269597
201607 0.286126
201608 0.400083
201609 0.259571
201610 0.406390
201611 0.295607
201612 0.153429
201701 0.008252
201702 0.010329
201703 -0.019819
201704 0.145623
201705 0.323685
201706 0.225952
201707 0.335580
201708 0.305664
201709 0.386680
201710 0.306551
201711 0.128634
201712 0.132684
201801 -0.237528
201802 -0.089178
201803 -0.043051
201804 -0.221506
201805 -0.122871
201806 -0.012276
201807 0.120613
201808 -0.023632
201809 0.052949
201810 0.171095
201811 0.360989
201812 0.240055
201901 0.310988
201902 0.374278
201903 0.336063
201904 0.484913
201905 0.267708
201906 0.550551
201907 0.251948
201908 0.336374
201909 0.401832
201910 0.095577
201911 0.376262
201912 0.470350
202001 0.544243
202002 0.642923
202003 0.520530
202004 0.378086
202005 0.627677
202006 0.296645
202007 0.257416
202008 0.438590
202009 0.275092
202010 0.171634
202011 0.129085
202012 -0.114777
202101 -0.192363
202102 -0.196482
202103 -0.402609
202104 -0.327972
202105 0.046628
202106 -0.200601
202107 0.124755
202108 0.019286
202109 0.041424
202110 0.241278
202111 0.034519
202112 -0.038970
202201 -0.249504
202202 -0.240982
202203 -0.132553
202204 -0.142901
202205 -0.054810
202206 -0.464799
202207 0.035702
202208 -0.150183
202209 -0.065239
202210 -0.104037
202211 -0.307862
202212 -0.461866
202301 -0.470836
202302 -0.226961
202303 -0.211437
202304 -0.174528
202305 0.275077
202306 0.506430
202307 0.827367
202308 0.777748
202309 0.815990
202310 0.840049
202311 0.929391
202312 1.053500
202401 1.303738
202402 1.291948
202403 1.331689
202404 1.210910
202405 1.254819
202406 0.823900
202407 0.954770
202408 0.720661
202409 0.855937
202410 0.632709
202411 0.573730
202412 0.504257
