time(yyyymm) ts_sst
190303 27.254856
190304 27.470046
190305 27.371140
190306 26.926111
190307 26.374376
190308 26.161175
190309 26.191094
190310 26.332866
190311 26.460928
190312 26.410650
190401 26.359355
190402 26.588941
190403 26.927041
190404 27.183060
190405 27.164214
190406 26.753516
190407 26.434106
190408 26.170060
190409 26.255948
190410 26.568740
190411 26.704123
190412 26.794425
190501 26.750510
190502 26.945252
190503 27.295498
190504 27.426213
190505 27.513709
190506 27.051365
190507 26.608799
190508 26.429138
190509 26.540284
190510 26.660152
190511 26.898555
190512 26.818738
190601 26.840872
190602 27.102414
190603 27.404974
190604 27.576949
190605 27.433073
190606 27.026846
190607 26.436555
190608 26.278353
190609 26.240615
190610 26.438122
190611 26.619093
190612 26.590891
190701 26.487069
190702 26.657099
190703 27.022216
190704 27.273692
190705 27.194824
190706 26.829312
190707 26.311335
190708 26.073790
190709 26.315388
190710 26.486383
190711 26.685019
190712 26.603708
190801 26.519075
190802 26.683629
190803 26.979248
190804 27.214091
190805 27.156342
190806 26.740781
190807 26.259259
190808 26.034449
190809 26.173755
190810 26.408733
190811 26.479207
190812 26.372881
190901 26.577481
190902 26.638531
190903 27.039975
190904 27.290155
190905 27.348223
190906 26.659212
190907 26.219093
190908 25.988352
190909 26.121121
190910 26.322650
190911 26.379625
190912 26.463696
191001 26.414475
191002 26.657515
191003 26.898496
191004 27.135717
191005 27.041120
191006 26.645457
191007 26.290772
191008 26.028870
191009 26.075495
191010 26.273713
191011 26.458918
191012 26.401331
191101 26.441300
191102 26.545429
191103 26.900515
191104 27.056924
191105 26.988393
191106 26.543850
191107 26.197266
191108 25.990884
191109 26.232026
191110 26.475095
191111 26.744285
191112 26.848630
191201 26.881952
191202 27.055850
191203 27.361606
191204 27.665807
191205 27.437950
191206 26.994342
191207 26.453010
191208 26.198845
191209 26.362721
191210 26.521652
191211 26.698356
191212 26.579621
191301 26.528232
191302 26.919073
191303 27.111087
191304 27.178247
191305 27.277726
191306 26.828586
191307 26.365074
191308 26.126024
191309 26.270045
191310 26.528857
191311 26.768919
191312 26.781259
191401 26.734083
191402 26.933867
191403 27.205330
191404 27.500580
191405 27.378409
191406 26.887776
191407 26.466389
191408 26.339860
191409 26.462560
191410 26.701193
191411 26.848751
191412 26.807561
191501 26.831805
191502 27.026087
191503 27.415666
191504 27.675157
191505 27.649568
191506 27.382100
191507 26.742871
191508 26.454386
191509 26.579273
191510 26.702411
191511 26.734681
191512 26.709046
191601 26.677407
191602 26.807517
191603 27.126024
191604 27.439441
191605 27.310644
191606 26.838084
191607 26.208575
191608 26.021191
191609 26.103842
191610 26.327031
191611 26.263829
191612 26.340136
191701 26.283502
191702 26.477953
191703 26.814792
191704 27.168905
191705 27.055684
191706 26.706148
191707 26.363311
191708 26.200183
191709 26.316877
191710 26.440750
191711 26.476972
191712 26.438536
191801 26.444077
191802 26.550220
191803 26.933981
191804 27.168927
191805 27.213131
191806 26.914462
191807 26.415454
191808 26.178409
191809 26.381579
191810 26.786549
191811 26.983064
191812 26.892454
191901 27.009122
191902 27.134263
191903 27.434688
191904 27.662447
191905 27.661880
191906 27.138150
191907 26.502757
191908 26.336476
191909 26.499846
191910 26.560020
191911 26.602203
191912 26.708669
192001 26.787208
192002 26.964459
192003 27.338215
192004 27.515006
192005 27.485780
192006 26.956392
192007 26.325279
192008 26.236650
192009 26.403876
192010 26.657040
192011 26.729320
192012 26.650135
192101 26.691732
192102 26.818799
192103 26.938861
192104 27.424516
192105 27.224227
192106 26.911232
192107 26.549821
192108 26.214632
192109 26.359480
192110 26.687188
192111 26.657276
192112 26.665438
192201 26.589166
192202 26.892590
192203 27.188649
192204 27.353280
192205 27.344799
192206 26.764727
192207 26.323405
192208 26.067388
192209 26.129340
192210 26.512038
192211 26.609850
192212 26.493065
192301 26.541309
192302 26.701182
192303 27.002714
192304 27.351758
192305 27.288163
192306 26.860912
192307 26.347590
192308 26.108056
192309 26.290503
192310 26.647510
192311 26.912843
192312 26.882081
192401 26.800548
192402 27.027702
192403 27.409893
192404 27.642086
192405 27.417298
192406 26.929470
192407 26.445924
192408 26.159055
192409 26.235783
192410 26.478208
192411 26.491934
192412 26.446536
192501 26.419432
192502 26.636776
192503 27.063831
192504 27.399515
192505 27.367971
192506 26.833210
192507 26.534770
192508 26.382785
192509 26.494940
192510 26.722439
192511 26.966408
192512 27.049485
192601 27.052826
192602 27.274106
192603 27.662202
192604 27.888157
192605 27.841279
192606 27.312580
192607 26.813807
192608 26.552283
192609 26.588203
192610 26.787366
192611 26.800138
192612 26.851954
192701 26.817085
192702 27.102148
192703 27.299664
192704 27.571903
192705 27.343033
192706 27.033455
192707 26.503608
192708 26.339306
192709 26.483999
192710 26.729580
192711 26.884674
192712 26.874267
192801 26.940363
192802 27.043471
192803 27.339767
192804 27.527184
192805 27.494522
192806 26.970636
192807 26.477873
192808 26.249370
192809 26.418423
192810 26.605275
192811 26.787403
192812 26.713412
192901 26.678642
192902 26.920643
192903 27.234212
192904 27.542212
192905 27.326957
192906 26.875242
192907 26.408300
192908 26.260794
192909 26.410051
192910 26.650562
192911 26.858079
192912 26.848948
193001 26.783130
193002 26.938306
193003 27.270783
193004 27.578833
193005 27.345087
193006 26.986366
193007 26.588283
193008 26.494715
193009 26.634331
193010 26.973337
193011 27.222392
193012 27.102826
193101 27.208575
193102 27.414855
193103 27.749154
193104 27.926043
193105 27.816662
193106 27.298759
193107 26.832497
193108 26.450460
193109 26.474174
193110 26.730348
193111 26.805813
193112 26.807774
193201 26.700779
193202 26.975290
193203 27.363071
193204 27.533862
193205 27.499776
193206 27.054189
193207 26.467235
193208 26.357635
193209 26.412101
193210 26.647421
193211 26.747421
193212 26.680921
193301 26.795765
193302 26.995849
193303 27.325485
193304 27.581189
193305 27.410219
193306 26.894943
193307 26.434479
193308 26.200533
193309 26.241009
193310 26.408912
193311 26.559922
193312 26.538458
193401 26.593926
193402 26.690055
193403 27.051364
193404 27.465251
193405 27.306042
193406 26.996503
193407 26.532424
193408 26.352293
193409 26.464021
193410 26.675986
193411 26.844557
193412 26.736821
193501 26.729701
193502 26.968102
193503 27.229334
193504 27.535595
193505 27.403591
193506 26.968649
193507 26.414305
193508 26.349310
193509 26.458264
193510 26.722535
193511 26.863394
193512 26.853345
193601 26.909834
193602 27.129019
193603 27.401907
193604 27.667434
193605 27.562622
193606 26.992941
193607 26.609579
193608 26.386801
193609 26.557321
193610 26.819743
193611 26.913131
193612 27.018953
193701 26.896821
193702 27.232445
193703 27.580904
193704 27.756831
193705 27.561231
193706 27.145547
193707 26.762075
193708 26.476803
193709 26.672740
193710 26.810479
193711 27.065092
193712 26.964991
193801 26.939034
193802 27.112648
193803 27.462827
193804 27.602930
193805 27.514926
193806 26.913946
193807 26.515735
193808 26.317483
193809 26.501919
193810 26.651610
193811 26.769458
193812 26.666619
193901 26.615910
193902 26.772604
193903 27.107587
193904 27.494303
193905 27.428114
193906 27.109603
193907 26.748365
193908 26.437585
193909 26.592356
193910 26.565217
193911 26.902034
193912 26.929806
194001 27.033613
194002 27.230364
194003 27.622727
194004 27.826249
194005 27.640577
194006 27.162489
194007 26.781431
194008 26.515926
194009 26.667533
194010 26.907148
194011 27.118351
194012 27.104695
194101 27.246261
194102 27.433162
194103 27.827151
194104 28.132502
194105 27.894740
194106 27.319179
194107 26.844977
194108 26.646216
194109 26.697349
194110 27.086934
194111 27.329643
194112 27.396479
194201 27.073168
194202 27.132688
194203 27.483831
194204 27.751589
194205 27.630386
194206 27.014578
194207 26.460918
194208 26.308685
194209 26.418359
194210 26.537100
194211 26.622104
194212 26.605888
194301 26.579897
194302 26.813992
194303 27.084147
194304 27.424699
194305 27.529822
194306 27.018606
194307 26.579289
194308 26.372244
194309 26.458448
194310 26.750735
194311 26.936931
194312 26.816361
194401 26.824743
194402 27.075688
