time(yyyymm) ts_tmt
201107 -0.111060
201108 -0.077432
201109 -0.133716
201110 -0.401943
201111 -0.316247
201112 -0.313266
201201 -0.411256
201202 -0.576322
201203 -0.356835
201204 -0.447599
201205 -0.315262
201206 -0.271369
201207 -0.096476
201208 -0.110310
201209 -0.037795
201210 -0.013711
201211 0.079645
201212 0.035990
201301 0.374274
201302 0.130361
201303 0.144076
201304 0.092504
201305 -0.054826
201306 -0.010182
201307 -0.257336
201308 -0.203927
201309 -0.035239
201310 -0.186226
201311 -0.232279
201312 -0.158808
201401 -0.189561
201402 -0.203815
201403 -0.070712
201404 0.051259
201405 0.099175
201406 0.391721
201407 0.301824
201408 -0.133513
201409 -0.015992
201410 0.009376
201411 0.102548
201412 0.152640
201501 0.130075
201502 -0.206351
201503 0.038340
201504 0.040205
201505 0.227375
201506 0.402553
201507 0.330291
201508 0.401189
201509 0.441607
201510 0.443320
201511 0.433830
201512 0.650037
201601 0.950088
201602 1.064801
201603 1.181872
201604 1.005118
201605 0.716004
201606 0.330388
201607 0.296697
201608 0.398757
201609 0.265962
201610 0.332227
201611 0.247168
201612 0.140239
201701 0.061788
201702 0.044233
201703 0.043188
201704 0.203546
201705 0.378411
201706 0.281176
201707 0.355670
201708 0.314889
201709 0.396388
201710 0.295765
201711 0.088042
201712 0.107757
201801 -0.186073
201802 -0.055347
201803 0.006257
201804 -0.165318
201805 -0.070607
201806 0.025217
201807 0.132557
201808 -0.020766
201809 0.043166
201810 0.134808
201811 0.324016
201812 0.248510
201901 0.388468
201902 0.423006
201903 0.391248
201904 0.528201
201905 0.328771
201906 0.611964
201907 0.278855
201908 0.359434
201909 0.400603
201910 0.048925
201911 0.306381
201912 0.437239
202001 0.602507
202002 0.682796
202003 0.540937
202004 0.440887
202005 0.707914
202006 0.390723
202007 0.308237
202008 0.453196
202009 0.274026
202010 0.119976
202011 0.063100
202012 -0.132470
202101 -0.096957
202102 -0.109573
202103 -0.297668
202104 -0.218233
202105 0.176333
202106 -0.089205
202107 0.204724
202108 0.091162
202109 0.104257
202110 0.235282
202111 0.020157
202112 -0.025952
202201 -0.169459
202202 -0.176033
202203 -0.042927
202204 -0.033151
202205 0.058217
202206 -0.337620
202207 0.135598
202208 -0.051999
202209 -0.026024
202210 -0.094401
202211 -0.325540
202212 -0.456281
202301 -0.358535
202302 -0.100891
202303 -0.101828
